start_s,end_s,source_clip_id,emotion,label
0.000000,2.002000,1016_DFA_ANG_XX.wav,ANG,distress
2.002000,4.404375,1016_DFA_DIS_XX.wav,DIS,exclude
4.404375,6.873500,1016_DFA_FEA_XX.wav,FEA,distress
6.873500,8.775375,1016_DFA_HAP_XX.wav,HAP,exclude
8.775375,10.710625,1016_DFA_NEU_XX.wav,NEU,calm
10.710625,13.079625,1016_DFA_SAD_XX.wav,SAD,distress
13.079625,15.815687,1016_IEO_ANG_HI.wav,ANG,distress
15.815687,18.118000,1016_IEO_ANG_LO.wav,ANG,distress
18.118000,20.386937,1016_IEO_ANG_MD.wav,ANG,distress
20.386937,23.256438,1016_IEO_DIS_HI.wav,DIS,exclude
23.256438,25.758937,1016_IEO_DIS_LO.wav,DIS,exclude
25.758937,28.394875,1016_IEO_DIS_MD.wav,DIS,exclude
28.394875,30.897375,1016_IEO_FEA_HI.wav,FEA,distress
30.897375,33.233063,1016_IEO_FEA_LO.wav,FEA,distress
33.233063,36.135937,1016_IEO_FEA_MD.wav,FEA,distress
36.135937,38.571688,1016_IEO_HAP_HI.wav,HAP,exclude
38.571688,40.673812,1016_IEO_HAP_LO.wav,HAP,exclude
40.673812,42.709187,1016_IEO_HAP_MD.wav,HAP,exclude
42.709187,44.444250,1016_IEO_NEU_XX.wav,NEU,calm
44.444250,48.114562,1016_IEO_SAD_HI.wav,SAD,distress
48.114562,50.450250,1016_IEO_SAD_LO.wav,SAD,distress
50.450250,53.286437,1016_IEO_SAD_MD.wav,SAD,distress
53.286437,55.455250,1016_IOM_ANG_XX.wav,ANG,distress
55.455250,58.491625,1016_IOM_DIS_XX.wav,DIS,exclude
58.491625,60.767187,1016_IOM_FEA_XX.wav,FEA,distress
60.767187,62.969375,1016_IOM_HAP_XX.wav,HAP,exclude
62.969375,65.104812,1016_IOM_NEU_XX.wav,NEU,calm
65.104812,67.240250,1016_IOM_SAD_XX.wav,SAD,distress
67.240250,70.176500,1016_ITH_ANG_XX.wav,ANG,distress
70.176500,73.346312,1016_ITH_DIS_XX.wav,DIS,exclude
73.346312,76.315938,1016_ITH_FEA_XX.wav,FEA,distress
76.315938,78.718312,1016_ITH_HAP_XX.wav,HAP,exclude
78.718312,81.287563,1016_ITH_NEU_XX.wav,NEU,calm
81.287563,84.724312,1016_ITH_SAD_XX.wav,SAD,distress
84.724312,87.126688,1016_ITS_ANG_XX.wav,ANG,distress
87.126688,90.163062,1016_ITS_DIS_XX.wav,DIS,exclude
90.163062,92.865750,1016_ITS_FEA_XX.wav,FEA,distress
92.865750,95.468375,1016_ITS_HAP_XX.wav,HAP,exclude
95.468375,97.503750,1016_ITS_NEU_XX.wav,NEU,calm
97.503750,100.873750,1016_ITS_SAD_XX.wav,SAD,distress
100.873750,103.876750,1016_IWL_ANG_XX.wav,ANG,distress
103.876750,107.647188,1016_IWL_DIS_XX.wav,DIS,exclude
107.647188,111.851375,1016_IWL_FEA_XX.wav,FEA,distress
111.851375,115.054563,1016_IWL_HAP_XX.wav,HAP,exclude
115.054563,117.757250,1016_IWL_NEU_XX.wav,NEU,calm
117.757250,121.661125,1016_IWL_SAD_XX.wav,SAD,distress
121.661125,124.463938,1016_IWW_ANG_XX.wav,ANG,distress
124.463938,127.667125,1016_IWW_DIS_XX.wav,DIS,exclude
127.667125,130.570000,1016_IWW_FEA_XX.wav,FEA,distress
130.570000,132.845562,1016_IWW_HAP_XX.wav,HAP,exclude
132.845562,134.847563,1016_IWW_NEU_XX.wav,NEU,calm
134.847563,138.718125,1016_IWW_SAD_XX.wav,SAD,distress
138.718125,141.454187,1016_MTI_ANG_XX.wav,ANG,distress
141.454187,144.457188,1016_MTI_DIS_XX.wav,DIS,exclude
144.457188,147.260000,1016_MTI_FEA_XX.wav,FEA,distress
147.260000,149.795875,1016_MTI_HAP_XX.wav,HAP,exclude
149.795875,151.731125,1016_MTI_NEU_XX.wav,NEU,calm
151.731125,155.101125,1016_MTI_SAD_XX.wav,SAD,distress
155.101125,157.670375,1016_TAI_ANG_XX.wav,ANG,distress
157.670375,160.806813,1016_TAI_DIS_XX.wav,DIS,exclude
160.806813,164.710688,1016_TAI_FEA_XX.wav,FEA,distress
164.710688,167.146437,1016_TAI_HAP_XX.wav,HAP,exclude
167.146437,170.082687,1016_TAI_NEU_XX.wav,NEU,calm
170.082687,172.885500,1016_TAI_SAD_XX.wav,SAD,distress
172.885500,175.688312,1016_TIE_ANG_XX.wav,ANG,distress
175.688312,179.158437,1016_TIE_DIS_XX.wav,DIS,exclude
179.158437,181.861125,1016_TIE_FEA_XX.wav,FEA,distress
181.861125,184.764000,1016_TIE_HAP_XX.wav,HAP,exclude
184.764000,187.399937,1016_TIE_NEU_XX.wav,NEU,calm
187.399937,190.369563,1016_TIE_SAD_XX.wav,SAD,distress
190.369563,192.171375,1016_TSI_ANG_XX.wav,ANG,distress
192.171375,194.974187,1016_TSI_DIS_XX.wav,DIS,exclude
194.974187,197.943813,1016_TSI_FEA_XX.wav,FEA,distress
197.943813,200.112625,1016_TSI_HAP_XX.wav,HAP,exclude
200.112625,202.148000,1016_TSI_NEU_XX.wav,NEU,calm
202.148000,204.283437,1016_TSI_SAD_XX.wav,SAD,distress
204.283437,206.919375,1016_WSI_ANG_XX.wav,ANG,distress
206.919375,210.055813,1016_WSI_DIS_XX.wav,DIS,exclude
210.055813,212.424813,1016_WSI_FEA_XX.wav,FEA,distress
212.424813,214.700375,1016_WSI_HAP_XX.wav,HAP,exclude
214.700375,217.269625,1016_WSI_NEU_XX.wav,NEU,calm
217.269625,219.571937,1016_WSI_SAD_XX.wav,SAD,distress
