event_id,start_s,end_s,label,source_clip_id,source_dataset,speaker_id,emotion,notes
crema-001,5.000000,7.002000,distress,1016_DFA_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-002,7.002000,9.404375,exclude,1016_DFA_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-003,9.404375,11.873500,distress,1016_DFA_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-004,11.873500,13.775375,exclude,1016_DFA_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-005,13.775375,15.710625,calm,1016_DFA_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-006,15.710625,18.079625,distress,1016_DFA_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-007,18.079625,20.815687,distress,1016_IEO_ANG_HI.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-008,20.815687,23.118000,distress,1016_IEO_ANG_LO.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-009,23.118000,25.386937,distress,1016_IEO_ANG_MD.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-010,25.386937,28.256438,exclude,1016_IEO_DIS_HI.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-011,28.256438,30.758937,exclude,1016_IEO_DIS_LO.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-012,30.758937,33.394875,exclude,1016_IEO_DIS_MD.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-013,33.394875,35.897375,distress,1016_IEO_FEA_HI.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-014,35.897375,38.233063,distress,1016_IEO_FEA_LO.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-015,38.233063,41.135937,distress,1016_IEO_FEA_MD.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-016,41.135937,43.571688,exclude,1016_IEO_HAP_HI.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-017,43.571688,45.673812,exclude,1016_IEO_HAP_LO.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-018,45.673812,47.709187,exclude,1016_IEO_HAP_MD.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-019,47.709187,49.444250,calm,1016_IEO_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-020,49.444250,53.114562,distress,1016_IEO_SAD_HI.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-021,53.114562,55.450250,distress,1016_IEO_SAD_LO.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-022,55.450250,58.286437,distress,1016_IEO_SAD_MD.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-023,58.286437,60.455250,distress,1016_IOM_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-024,60.455250,63.491625,exclude,1016_IOM_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-025,63.491625,65.767187,distress,1016_IOM_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-026,65.767187,67.969375,exclude,1016_IOM_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-027,67.969375,70.104812,calm,1016_IOM_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-028,70.104812,72.240250,distress,1016_IOM_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-029,72.240250,75.176500,distress,1016_ITH_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-030,75.176500,78.346312,exclude,1016_ITH_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-031,78.346312,81.315938,distress,1016_ITH_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-032,81.315938,83.718312,exclude,1016_ITH_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-033,83.718312,86.287563,calm,1016_ITH_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-034,86.287563,89.724312,distress,1016_ITH_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-035,89.724312,92.126688,distress,1016_ITS_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-036,92.126688,95.163062,exclude,1016_ITS_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-037,95.163062,97.865750,distress,1016_ITS_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-038,97.865750,100.468375,exclude,1016_ITS_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-039,100.468375,102.503750,calm,1016_ITS_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-040,102.503750,105.873750,distress,1016_ITS_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-041,105.873750,108.876750,distress,1016_IWL_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-042,108.876750,112.647188,exclude,1016_IWL_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-043,112.647188,116.851375,distress,1016_IWL_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-044,116.851375,120.054563,exclude,1016_IWL_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-045,120.054563,122.757250,calm,1016_IWL_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-046,122.757250,126.661125,distress,1016_IWL_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-047,126.661125,129.463938,distress,1016_IWW_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-048,129.463938,132.667125,exclude,1016_IWW_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-049,132.667125,135.570000,distress,1016_IWW_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-050,135.570000,137.845562,exclude,1016_IWW_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-051,137.845562,139.847563,calm,1016_IWW_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-052,139.847563,143.718125,distress,1016_IWW_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-053,143.718125,146.454187,distress,1016_MTI_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-054,146.454187,149.457188,exclude,1016_MTI_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-055,149.457188,152.260000,distress,1016_MTI_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-056,152.260000,154.795875,exclude,1016_MTI_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-057,154.795875,156.731125,calm,1016_MTI_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-058,156.731125,160.101125,distress,1016_MTI_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-059,160.101125,162.670375,distress,1016_TAI_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-060,162.670375,165.806813,exclude,1016_TAI_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-061,165.806813,169.710688,distress,1016_TAI_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-062,169.710688,172.146437,exclude,1016_TAI_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-063,172.146437,175.082687,calm,1016_TAI_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-064,175.082687,177.885500,distress,1016_TAI_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-065,177.885500,180.688312,distress,1016_TIE_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-066,180.688312,184.158437,exclude,1016_TIE_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-067,184.158437,186.861125,distress,1016_TIE_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-068,186.861125,189.764000,exclude,1016_TIE_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-069,189.764000,192.399937,calm,1016_TIE_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-070,192.399937,195.369563,distress,1016_TIE_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-071,195.369563,197.171375,distress,1016_TSI_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-072,197.171375,199.974187,exclude,1016_TSI_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-073,199.974187,202.943813,distress,1016_TSI_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-074,202.943813,205.112625,exclude,1016_TSI_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-075,205.112625,207.148000,calm,1016_TSI_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-076,207.148000,209.283437,distress,1016_TSI_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
crema-077,209.283437,211.919375,distress,1016_WSI_ANG_XX.wav,CREMA-D,1016,ANG,timeline offset 5 s
crema-078,211.919375,215.055813,exclude,1016_WSI_DIS_XX.wav,CREMA-D,1016,DIS,timeline offset 5 s
crema-079,215.055813,217.424813,distress,1016_WSI_FEA_XX.wav,CREMA-D,1016,FEA,timeline offset 5 s
crema-080,217.424813,219.700375,exclude,1016_WSI_HAP_XX.wav,CREMA-D,1016,HAP,timeline offset 5 s
crema-081,219.700375,222.269625,calm,1016_WSI_NEU_XX.wav,CREMA-D,1016,NEU,timeline offset 5 s
crema-082,222.269625,224.571937,distress,1016_WSI_SAD_XX.wav,CREMA-D,1016,SAD,timeline offset 5 s
