received_at_utc,source_ip,node_id,boot_id,sequence,first_sample_index,sample_count,sample_rate_hz,temperature_c
2026-07-17T23:23:39.871Z,usb,1,3165073039,4091,1047296,256,8000,32.140
2026-07-17T23:23:39.913Z,usb,1,3165073039,4092,1047552,256,8000,32.140
2026-07-17T23:23:39.956Z,usb,1,3165073039,4093,1047808,256,8000,32.140
2026-07-17T23:23:39.998Z,usb,1,3165073039,4094,1048064,256,8000,32.140
2026-07-17T23:23:40.041Z,usb,1,3165073039,4095,1048320,256,8000,32.140
2026-07-17T23:23:40.083Z,usb,1,3165073039,4096,1048576,256,8000,32.140
2026-07-17T23:23:40.126Z,usb,1,3165073039,4097,1048832,256,8000,32.140
2026-07-17T23:23:40.168Z,usb,1,3165073039,4098,1049088,256,8000,32.140
2026-07-17T23:23:40.211Z,usb,1,3165073039,4099,1049344,256,8000,32.140
2026-07-17T23:23:40.253Z,usb,1,3165073039,4100,1049600,256,8000,32.140
2026-07-17T23:23:40.296Z,usb,1,3165073039,4101,1049856,256,8000,32.140
2026-07-17T23:23:40.338Z,usb,1,3165073039,4102,1050112,256,8000,32.140
2026-07-17T23:23:40.381Z,usb,1,3165073039,4103,1050368,256,8000,32.140
2026-07-17T23:23:40.423Z,usb,1,3165073039,4104,1050624,256,8000,32.140
2026-07-17T23:23:40.466Z,usb,1,3165073039,4105,1050880,256,8000,32.140
2026-07-17T23:23:40.508Z,usb,1,3165073039,4106,1051136,256,8000,32.140
2026-07-17T23:23:40.552Z,usb,1,3165073039,4107,1051392,256,8000,32.140
2026-07-17T23:23:40.594Z,usb,1,3165073039,4108,1051648,256,8000,32.140
2026-07-17T23:23:40.637Z,usb,1,3165073039,4109,1051904,256,8000,32.140
2026-07-17T23:23:40.679Z,usb,1,3165073039,4110,1052160,256,8000,32.140
2026-07-17T23:23:40.722Z,usb,1,3165073039,4111,1052416,256,8000,32.140
2026-07-17T23:23:40.764Z,usb,1,3165073039,4112,1052672,256,8000,32.140
2026-07-17T23:23:40.807Z,usb,1,3165073039,4113,1052928,256,8000,32.140
2026-07-17T23:23:40.849Z,usb,1,3165073039,4114,1053184,256,8000,32.140
2026-07-17T23:23:40.892Z,usb,1,3165073039,4115,1053440,256,8000,32.140
2026-07-17T23:23:40.934Z,usb,1,3165073039,4116,1053696,256,8000,32.140
2026-07-17T23:23:40.977Z,usb,1,3165073039,4117,1053952,256,8000,32.140
2026-07-17T23:23:41.019Z,usb,1,3165073039,4118,1054208,256,8000,32.140
2026-07-17T23:23:41.061Z,usb,1,3165073039,4119,1054464,256,8000,32.140
2026-07-17T23:23:41.104Z,usb,1,3165073039,4120,1054720,256,8000,32.140
2026-07-17T23:23:41.147Z,usb,1,3165073039,4121,1054976,256,8000,32.140
2026-07-17T23:23:41.189Z,usb,1,3165073039,4122,1055232,256,8000,32.140
2026-07-17T23:23:41.231Z,usb,1,3165073039,4123,1055488,256,8000,32.140
2026-07-17T23:23:41.274Z,usb,1,3165073039,4124,1055744,256,8000,32.140
2026-07-17T23:23:41.317Z,usb,1,3165073039,4125,1056000,256,8000,32.140
2026-07-17T23:23:41.359Z,usb,1,3165073039,4126,1056256,256,8000,32.140
2026-07-17T23:23:41.402Z,usb,1,3165073039,4127,1056512,256,8000,32.140
2026-07-17T23:23:41.444Z,usb,1,3165073039,4128,1056768,256,8000,32.140
2026-07-17T23:23:41.487Z,usb,1,3165073039,4129,1057024,256,8000,32.140
2026-07-17T23:23:41.529Z,usb,1,3165073039,4130,1057280,256,8000,32.140
2026-07-17T23:23:41.572Z,usb,1,3165073039,4131,1057536,256,8000,32.140
2026-07-17T23:23:41.615Z,usb,1,3165073039,4132,1057792,256,8000,32.140
2026-07-17T23:23:41.657Z,usb,1,3165073039,4133,1058048,256,8000,32.140
2026-07-17T23:23:41.700Z,usb,1,3165073039,4134,1058304,256,8000,32.140
2026-07-17T23:23:41.742Z,usb,1,3165073039,4135,1058560,256,8000,32.140
2026-07-17T23:23:41.785Z,usb,1,3165073039,4136,1058816,256,8000,32.140
2026-07-17T23:23:41.827Z,usb,1,3165073039,4137,1059072,256,8000,32.140
2026-07-17T23:23:41.870Z,usb,1,3165073039,4138,1059328,256,8000,32.140
2026-07-17T23:23:41.912Z,usb,1,3165073039,4139,1059584,256,8000,32.140
2026-07-17T23:23:41.955Z,usb,1,3165073039,4140,1059840,256,8000,32.140
2026-07-17T23:23:41.998Z,usb,1,3165073039,4141,1060096,256,8000,32.140
2026-07-17T23:23:42.040Z,usb,1,3165073039,4142,1060352,256,8000,32.140
2026-07-17T23:23:42.082Z,usb,1,3165073039,4143,1060608,256,8000,32.140
2026-07-17T23:23:42.125Z,usb,1,3165073039,4144,1060864,256,8000,32.140
2026-07-17T23:23:42.167Z,usb,1,3165073039,4145,1061120,256,8000,32.140
2026-07-17T23:23:42.210Z,usb,1,3165073039,4146,1061376,256,8000,32.140
2026-07-17T23:23:42.252Z,usb,1,3165073039,4147,1061632,256,8000,32.140
2026-07-17T23:23:42.295Z,usb,1,3165073039,4148,1061888,256,8000,32.140
2026-07-17T23:23:42.337Z,usb,1,3165073039,4149,1062144,256,8000,32.140
2026-07-17T23:23:42.380Z,usb,1,3165073039,4150,1062400,256,8000,32.140
2026-07-17T23:23:42.422Z,usb,1,3165073039,4151,1062656,256,8000,32.140
2026-07-17T23:23:42.465Z,usb,1,3165073039,4152,1062912,256,8000,32.140
2026-07-17T23:23:42.507Z,usb,1,3165073039,4153,1063168,256,8000,32.140
2026-07-17T23:23:42.550Z,usb,1,3165073039,4154,1063424,256,8000,32.140
2026-07-17T23:23:42.593Z,usb,1,3165073039,4155,1063680,256,8000,32.150
2026-07-17T23:23:42.636Z,usb,1,3165073039,4156,1063936,256,8000,32.150
2026-07-17T23:23:42.678Z,usb,1,3165073039,4157,1064192,256,8000,32.150
2026-07-17T23:23:42.721Z,usb,1,3165073039,4158,1064448,256,8000,32.150
2026-07-17T23:23:42.763Z,usb,1,3165073039,4159,1064704,256,8000,32.150
2026-07-17T23:23:42.806Z,usb,1,3165073039,4160,1064960,256,8000,32.150
2026-07-17T23:23:42.848Z,usb,1,3165073039,4161,1065216,256,8000,32.150
2026-07-17T23:23:42.891Z,usb,1,3165073039,4162,1065472,256,8000,32.150
2026-07-17T23:23:42.933Z,usb,1,3165073039,4163,1065728,256,8000,32.150
2026-07-17T23:23:42.976Z,usb,1,3165073039,4164,1065984,256,8000,32.150
2026-07-17T23:23:43.018Z,usb,1,3165073039,4165,1066240,256,8000,32.150
2026-07-17T23:23:43.061Z,usb,1,3165073039,4166,1066496,256,8000,32.150
2026-07-17T23:23:43.103Z,usb,1,3165073039,4167,1066752,256,8000,32.150
2026-07-17T23:23:43.146Z,usb,1,3165073039,4168,1067008,256,8000,32.150
2026-07-17T23:23:43.188Z,usb,1,3165073039,4169,1067264,256,8000,32.150
2026-07-17T23:23:43.231Z,usb,1,3165073039,4170,1067520,256,8000,32.150
2026-07-17T23:23:43.273Z,usb,1,3165073039,4171,1067776,256,8000,32.150
2026-07-17T23:23:43.316Z,usb,1,3165073039,4172,1068032,256,8000,32.150
2026-07-17T23:23:43.358Z,usb,1,3165073039,4173,1068288,256,8000,32.150
2026-07-17T23:23:43.401Z,usb,1,3165073039,4174,1068544,256,8000,32.150
2026-07-17T23:23:43.443Z,usb,1,3165073039,4175,1068800,256,8000,32.150
2026-07-17T23:23:43.486Z,usb,1,3165073039,4176,1069056,256,8000,32.150
2026-07-17T23:23:43.528Z,usb,1,3165073039,4177,1069312,256,8000,32.150
2026-07-17T23:23:43.571Z,usb,1,3165073039,4178,1069568,256,8000,32.150
2026-07-17T23:23:43.614Z,usb,1,3165073039,4179,1069824,256,8000,32.150
2026-07-17T23:23:43.656Z,usb,1,3165073039,4180,1070080,256,8000,32.150
2026-07-17T23:23:43.699Z,usb,1,3165073039,4181,1070336,256,8000,32.150
2026-07-17T23:23:43.741Z,usb,1,3165073039,4182,1070592,256,8000,32.150
2026-07-17T23:23:43.784Z,usb,1,3165073039,4183,1070848,256,8000,32.150
2026-07-17T23:23:43.826Z,usb,1,3165073039,4184,1071104,256,8000,32.150
2026-07-17T23:23:43.869Z,usb,1,3165073039,4185,1071360,256,8000,32.150
2026-07-17T23:23:43.911Z,usb,1,3165073039,4186,1071616,256,8000,32.150
