event_id,start_s,end_s,label,source_clip_id,source_dataset,speaker_id,emotion,notes
crema-001,8.000000,9.968625,distress,1067_DFA_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-002,9.968625,12.170813,exclude,1067_DFA_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-003,12.170813,13.972625,distress,1067_DFA_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-004,13.972625,15.974625,exclude,1067_DFA_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-005,15.974625,18.076750,calm,1067_DFA_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-006,18.076750,20.045375,distress,1067_DFA_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-007,20.045375,24.182813,distress,1067_IEO_ANG_HI.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-008,24.182813,26.251562,distress,1067_IEO_ANG_LO.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-009,26.251562,28.954250,distress,1067_IEO_ANG_MD.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-010,28.954250,31.456750,exclude,1067_IEO_DIS_HI.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-011,31.456750,34.292938,exclude,1067_IEO_DIS_LO.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-012,34.292938,37.162500,exclude,1067_IEO_DIS_MD.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-013,37.162500,39.631625,distress,1067_IEO_FEA_HI.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-014,39.631625,42.467813,distress,1067_IEO_FEA_LO.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-015,42.467813,45.637625,distress,1067_IEO_FEA_MD.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-016,45.637625,47.673000,exclude,1067_IEO_HAP_HI.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-017,47.673000,49.675000,exclude,1067_IEO_HAP_LO.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-018,49.675000,52.377688,exclude,1067_IEO_HAP_MD.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-019,52.377688,54.246250,calm,1067_IEO_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-020,54.246250,57.182500,distress,1067_IEO_SAD_HI.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-021,57.182500,60.118750,distress,1067_IEO_SAD_LO.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-022,60.118750,62.888188,distress,1067_IEO_SAD_MD.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-023,62.888188,65.891188,distress,1067_IOM_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-024,65.891188,70.662625,exclude,1067_IOM_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-025,70.662625,73.465437,distress,1067_IOM_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-026,73.465437,75.967938,exclude,1067_IOM_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-027,75.967938,78.170125,calm,1067_IOM_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-028,78.170125,80.672625,distress,1067_IOM_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-029,80.672625,83.742375,distress,1067_ITH_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-030,83.742375,87.045687,exclude,1067_ITH_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-031,87.045687,89.214500,distress,1067_ITH_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-032,89.214500,91.616875,exclude,1067_ITH_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-033,91.616875,93.819063,calm,1067_ITH_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-034,93.819063,96.455000,distress,1067_ITH_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-035,96.455000,98.590437,distress,1067_ITS_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-036,98.590437,101.993813,exclude,1067_ITS_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-037,101.993813,105.063563,distress,1067_ITS_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-038,105.063563,109.034188,exclude,1067_ITS_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-039,109.034188,110.969437,calm,1067_ITS_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-040,110.969437,114.072563,distress,1067_ITS_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-041,114.072563,118.877375,distress,1067_IWL_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-042,118.877375,121.746875,exclude,1067_IWL_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-043,121.746875,124.382812,distress,1067_IWL_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-044,124.382812,126.618375,exclude,1067_IWL_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-045,126.618375,128.820562,calm,1067_IWL_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-046,128.820562,131.556625,distress,1067_IWL_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-047,131.556625,133.592000,distress,1067_IWW_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-048,133.592000,136.127875,exclude,1067_IWW_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-049,136.127875,138.663750,distress,1067_IWW_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-050,138.663750,141.166250,exclude,1067_IWW_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-051,141.166250,143.768875,calm,1067_IWW_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-052,143.768875,147.505937,distress,1067_IWW_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-053,147.505937,149.874937,distress,1067_MTI_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-054,149.874937,152.344063,exclude,1067_MTI_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-055,152.344063,154.579625,distress,1067_MTI_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-056,154.579625,157.449125,exclude,1067_MTI_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-057,157.449125,160.018375,calm,1067_MTI_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-058,160.018375,163.221563,distress,1067_MTI_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-059,163.221563,167.359000,distress,1067_TAI_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-060,167.359000,170.729000,exclude,1067_TAI_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-061,170.729000,173.498437,distress,1067_TAI_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-062,173.498437,175.967563,exclude,1067_TAI_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-063,175.967563,178.236500,calm,1067_TAI_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-064,178.236500,181.072688,distress,1067_TAI_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-065,181.072688,184.075687,distress,1067_TIE_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-066,184.075687,186.678313,exclude,1067_TIE_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-067,186.678313,188.953875,distress,1067_TIE_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-068,188.953875,191.256188,exclude,1067_TIE_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-069,191.256188,193.591875,calm,1067_TIE_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-070,193.591875,196.161125,distress,1067_TIE_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-071,196.161125,198.163125,distress,1067_TSI_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-072,198.163125,200.699000,exclude,1067_TSI_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-073,200.699000,202.967938,distress,1067_TSI_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-074,202.967938,205.243500,exclude,1067_TSI_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-075,205.243500,206.811750,calm,1067_TSI_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-076,206.811750,209.314250,distress,1067_TSI_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
crema-077,209.314250,212.550813,distress,1067_WSI_ANG_XX.wav,CREMA-D,1067,ANG,timeline offset 8 s
crema-078,212.550813,215.487063,exclude,1067_WSI_DIS_XX.wav,CREMA-D,1067,DIS,timeline offset 8 s
crema-079,215.487063,217.622500,distress,1067_WSI_FEA_XX.wav,CREMA-D,1067,FEA,timeline offset 8 s
crema-080,217.622500,220.358563,exclude,1067_WSI_HAP_XX.wav,CREMA-D,1067,HAP,timeline offset 8 s
crema-081,220.358563,222.794312,calm,1067_WSI_NEU_XX.wav,CREMA-D,1067,NEU,timeline offset 8 s
crema-082,222.794312,225.263438,distress,1067_WSI_SAD_XX.wav,CREMA-D,1067,SAD,timeline offset 8 s
