event_id,start_s,end_s,label,source_clip_id,source_dataset,speaker_id,emotion,notes
crema-001,9.195314,12.565376,distress,1020_DFA_ANG_XX.wav,CREMA-D,1020,ANG,timeline aligned from vibration envelope
crema-002,12.565376,16.068877,exclude,1020_DFA_DIS_XX.wav,CREMA-D,1020,DIS,timeline aligned from vibration envelope
crema-003,16.068877,18.237689,distress,1020_DFA_FEA_XX.wav,CREMA-D,1020,FEA,timeline aligned from vibration envelope
crema-004,18.237689,20.339814,exclude,1020_DFA_HAP_XX.wav,CREMA-D,1020,HAP,timeline aligned from vibration envelope
crema-005,20.339814,22.308439,calm,1020_DFA_NEU_XX.wav,CREMA-D,1020,NEU,timeline aligned from vibration envelope
crema-006,22.308439,24.710814,distress,1020_DFA_SAD_XX.wav,CREMA-D,1020,SAD,timeline aligned from vibration envelope
crema-007,24.710814,27.313439,distress,1020_IEO_ANG_HI.wav,CREMA-D,1020,ANG,timeline aligned from vibration envelope
crema-008,27.313439,30.082877,distress,1020_IEO_ANG_LO.wav,CREMA-D,1020,ANG,timeline aligned from vibration envelope
crema-009,30.082877,33.452876,distress,1020_IEO_ANG_MD.wav,CREMA-D,1020,ANG,timeline aligned from vibration envelope
crema-010,33.452876,36.489251,exclude,1020_IEO_DIS_HI.wav,CREMA-D,1020,DIS,timeline aligned from vibration envelope
crema-011,36.489251,39.191939,exclude,1020_IEO_DIS_LO.wav,CREMA-D,1020,DIS,timeline aligned from vibration envelope
crema-012,39.191939,42.461876,exclude,1020_IEO_DIS_MD.wav,CREMA-D,1020,DIS,timeline aligned from vibration envelope
crema-013,42.461876,44.564002,distress,1020_IEO_FEA_HI.wav,CREMA-D,1020,FEA,timeline aligned from vibration envelope
crema-014,44.564002,46.866314,distress,1020_IEO_FEA_LO.wav,CREMA-D,1020,FEA,timeline aligned from vibration envelope
crema-015,46.866314,49.302064,distress,1020_IEO_FEA_MD.wav,CREMA-D,1020,FEA,timeline aligned from vibration envelope
crema-016,49.302064,51.771189,exclude,1020_IEO_HAP_HI.wav,CREMA-D,1020,HAP,timeline aligned from vibration envelope
crema-017,51.771189,53.940001,exclude,1020_IEO_HAP_LO.wav,CREMA-D,1020,HAP,timeline aligned from vibration envelope
crema-018,53.940001,56.676064,exclude,1020_IEO_HAP_MD.wav,CREMA-D,1020,HAP,timeline aligned from vibration envelope
crema-019,56.676064,58.711439,calm,1020_IEO_NEU_XX.wav,CREMA-D,1020,NEU,timeline aligned from vibration envelope
crema-020,58.711439,61.480876,distress,1020_IEO_SAD_HI.wav,CREMA-D,1020,SAD,timeline aligned from vibration envelope
crema-021,61.480876,64.150189,distress,1020_IEO_SAD_LO.wav,CREMA-D,1020,SAD,timeline aligned from vibration envelope
crema-022,64.150189,67.787127,distress,1020_IEO_SAD_MD.wav,CREMA-D,1020,SAD,timeline aligned from vibration envelope
crema-023,67.787127,70.656689,distress,1020_IOM_ANG_XX.wav,CREMA-D,1020,ANG,timeline aligned from vibration envelope
crema-024,70.656689,73.359376,exclude,1020_IOM_DIS_XX.wav,CREMA-D,1020,DIS,timeline aligned from vibration envelope
crema-025,73.359376,75.642064,distress,1020_IOM_FEA_XX.wav,CREMA-D,1020,FEA,timeline aligned from vibration envelope
crema-026,75.642064,77.911002,exclude,1020_IOM_HAP_XX.wav,CREMA-D,1020,HAP,timeline aligned from vibration envelope
crema-027,77.911002,79.879627,calm,1020_IOM_NEU_XX.wav,CREMA-D,1020,NEU,timeline aligned from vibration envelope
crema-028,79.879627,82.181939,distress,1020_IOM_SAD_XX.wav,CREMA-D,1020,SAD,timeline aligned from vibration envelope
crema-029,82.181939,86.185939,distress,1020_ITH_ANG_XX.wav,CREMA-D,1020,ANG,timeline aligned from vibration envelope
crema-030,86.185939,90.490252,exclude,1020_ITH_DIS_XX.wav,CREMA-D,1020,DIS,timeline aligned from vibration envelope
crema-031,90.490252,93.660064,distress,1020_ITH_FEA_XX.wav,CREMA-D,1020,FEA,timeline aligned from vibration envelope
crema-032,93.660064,96.162564,exclude,1020_ITH_HAP_XX.wav,CREMA-D,1020,HAP,timeline aligned from vibration envelope
