"","localid","sessionNums","queryType","questNum","pos","ttr","numTries","clipNum","clipName"
"4","SSI_1090000584",1,1,91,4,"4748",0,7443,"ANG_HI_practice"
"8","SSI_1090000584",1,1,92,8,"7521",0,7444,"SAD_MD_practice"
"12","SSI_1090000584",1,1,1,12,"10475",0,768,"1010_MTI_SAD_XX"
"16","SSI_1090000584",1,1,2,16,"3914",0,2981,"1037_IWL_HAP_XX"
"20","SSI_1090000584",1,1,3,20,"3265",0,1736,"1022_IWW_FEA_XX"
"24","SSI_1090000584",1,1,4,24,"7361",0,5471,"1067_WSI_HAP_XX"
"28","SSI_1090000584",1,1,5,28,"4016",0,21,"1001_TIE_FEA_XX"
"32","SSI_1090000584",1,1,6,32,"1640",0,1487,"1019_IOM_HAP_XX"
"36","SSI_1090000584",1,1,7,36,"4727",0,4724,"1058_ITS_FEA_XX"
"40","SSI_1090000584",1,1,8,40,"4697",0,5720,"1070_WSI_FEA_XX"
"44","SSI_1090000584",1,1,9,44,"4514",0,4226,"1052_DFA_FEA_XX"
"48","SSI_1090000584",1,1,10,48,"4474",0,2234,"1028_TAI_FEA_XX"
"52","SSI_1090000584",1,1,11,52,"1827",0,5222,"1064_TSI_FEA_XX"
"56","SSI_1090000584",1,1,12,56,"6931",0,4475,"1055_ITS_HAP_XX"
"60","SSI_1090000584",1,1,13,60,"5091",0,1017,"1013_MTI_DIS_XX"
"64","SSI_1090000584",1,1,14,64,"2300",0,6716,"1083_IEO_FEA_MD"
"68","SSI_1090000584",1,1,15,68,"6384",0,5969,"1074_IEO_HAP_LO"
"72","SSI_1090000584",1,1,16,72,"2555",0,3977,"1049_DFA_HAP_XX"
"76","SSI_1090000584",1,1,17,76,"1490",0,4724,"1058_ITS_FEA_XX"
"80","SSI_1090000584",1,1,18,80,"3540",0,4973,"1061_TSI_HAP_XX"
"84","SSI_1090000584",1,1,19,84,"1559",0,3230,"1040_IWL_FEA_XX"
"88","SSI_1090000584",1,1,20,88,"1891",0,1985,"1025_TAI_HAP_XX"
"92","SSI_1090000584",1,1,21,92,"2206",0,3728,"1046_ITH_FEA_XX"
"96","SSI_1090000584",1,1,22,96,"528",0,6218,"1077_IEO_SAD_MD"
"100","SSI_1090000584",1,1,23,100,"4621",0,1736,"1022_IWW_FEA_XX"
"104","SSI_1090000584",1,1,24,104,"4894",0,2732,"1034_MTI_FEA_XX"
"108","SSI_1090000584",1,1,25,108,"3759",0,2234,"1028_TAI_FEA_XX"
"112","SSI_1090000584",1,1,26,112,"2182",0,519,"1007_IOM_DIS_XX"
"116","SSI_1090000584",1,1,27,116,"392",0,270,"1004_IOM_SAD_XX"
"120","SSI_1090000584",1,1,28,120,"5558",0,3479,"1043_ITH_HAP_XX"
"124","SSI_1090000584",1,1,29,124,"6025",0,7214,"1089_TIE_HAP_XX"
"128","SSI_1090000584",1,1,30,128,"223",0,6965,"1086_IEO_DIS_MD"
"132","SSI_1090000584",1,1,31,132,"1003",0,6467,"1080_IEO_ANG_MD"
"136","SSI_1090000584",1,1,32,136,"1591",0,2483,"1031_MTI_HAP_XX"
"140","SSI_1090000584",1,1,33,140,"2051",0,1238,"1016_TIE_FEA_XX"
"144","SSI_1090000584",1,2,91,144,"2265",0,7443,"ANG_HI_practice"
"148","SSI_1090000584",1,2,92,148,"717",0,7444,"SAD_MD_practice"
"152","SSI_1090000584",1,2,1,152,"210",0,1764,"1022_DFA_SAD_XX"
"156","SSI_1090000584",1,2,2,156,"1336",0,6495,"1080_TAI_SAD_XX"
"160","SSI_1090000584",1,2,3,160,"1316",0,7242,"1089_MTI_DIS_XX"
"164","SSI_1090000584",1,2,4,164,"540",0,298,"1004_ITH_NEU_XX"
"168","SSI_1090000584",1,2,5,168,"527",0,2760,"1034_TSI_SAD_XX"
"172","SSI_1090000584",1,2,6,172,"1027",0,3258,"1040_WSI_SAD_XX"
"176","SSI_1090000584",1,2,7,176,"1081",0,4503,"1056_IEO_FEA_MD"
"180","SSI_1090000584",1,2,8,180,"1834",0,49,"1001_IWL_SAD_XX"
"184","SSI_1090000584",1,2,9,184,"664",0,1045,"1013_TSI_ANG_XX"
"188","SSI_1090000584",1,2,10,188,"774",0,5499,"1068_IOM_HAP_XX"
"192","SSI_1090000584",1,2,11,192,"2145",0,6993,"1086_MTI_SAD_XX"
"196","SSI_1090000584",1,2,12,196,"1472",0,4005,"1050_IEO_SAD_MD"
"200","SSI_1090000584",1,2,13,200,"2318",0,6744,"1083_TAI_DIS_XX"
"204","SSI_1090000584",1,2,14,204,"2227",0,3507,"1043_WSI_DIS_XX"
"208","SSI_1090000584",1,2,15,208,"1412",0,2511,"1031_ITS_DIS_XX"
"212","SSI_1090000584",1,2,16,212,"244",0,5997,"1074_IWW_HAP_XX"
"216","SSI_1090000584",1,2,17,216,"1785",0,6495,"1080_TAI_SAD_XX"
"220","SSI_1090000584",1,2,18,220,"1657",0,5250,"1065_TIE_FEA_XX"
"224","SSI_1090000584",1,2,19,224,"1828",0,2013,"1025_DFA_DIS_XX"
"228","SSI_1090000584",1,2,20,228,"793",0,5499,"1068_IOM_HAP_XX"
"232","SSI_1090000584",1,2,21,232,"146",0,4752,"1059_IEO_DIS_MD"
"236","SSI_1090000584",1,2,22,236,"2111",0,547,"1007_ITH_ANG_XX"
"240","SSI_1090000584",1,2,23,240,"1369",0,1266,"1016_IWL_SAD_XX"
"244","SSI_1090000584",1,2,24,244,"527",0,5001,"1062_TIE_HAP_XX"
"248","SSI_1090000584",1,2,25,248,"2333",0,4254,"1053_IEO_ANG_MD"
"252","SSI_1090000584",1,2,26,252,"1059",0,3258,"1040_WSI_SAD_XX"
"256","SSI_1090000584",1,2,27,256,"3127",0,1515,"1019_IWL_DIS_XX"
"260","SSI_1090000584",1,2,28,260,"369",0,5748,"1071_IOM_FEA_XX"
"264","SSI_1090000584",1,2,29,264,"3592",0,6246,"1077_IWW_DIS_XX"
"268","SSI_1090000584",1,2,30,268,"1180",0,796,"1010_TSI_NEU_XX"
"272","SSI_1090000584",1,2,31,272,"1476",0,3756,"1047_IEO_HAP_MD"
"276","SSI_1090000584",1,2,32,276,"1423",0,3009,"1037_TSI_DIS_XX"
"280","SSI_1090000584",1,2,33,280,"1004",0,2262,"1028_ITS_SAD_XX"
"284","SSI_1090000584",1,3,91,284,"153",0,7443,"ANG_HI_practice"
"288","SSI_1090000584",1,3,92,288,"396",0,7444,"SAD_MD_practice"
"292","SSI_1090000584",1,3,1,292,"2077",0,2041,"1026_IEO_ANG_HI"
"296","SSI_1090000584",1,3,2,296,"2378",0,5278,"1065_IWL_SAD_XX"
"300","SSI_1090000584",1,3,3,300,"1046",0,6025,"1074_ITH_DIS_XX"
"304","SSI_1090000584",1,3,4,304,"461",0,4033,"1050_IWW_DIS_XX"
"308","SSI_1090000584",1,3,5,308,"1068",0,3286,"1041_IOM_SAD_XX"
"312","SSI_1090000584",1,3,6,312,"2195",0,4780,"1059_MTI_SAD_XX"
"316","SSI_1090000584",1,3,7,316,"3315",0,7021,"1086_TSI_NEU_XX"
"320","SSI_1090000584",1,3,8,320,"777",0,1792,"1023_IEO_SAD_HI"
"324","SSI_1090000584",1,3,9,324,"4278",0,2290,"1029_IEO_FEA_HI"
"328","SSI_1090000584",1,3,10,328,"1216",0,7270,"1089_TSI_ANG_XX"
"332","SSI_1090000584",1,3,11,332,"1477",0,824,"1011_TIE_NEU_XX"
"336","SSI_1090000584",1,3,12,336,"176",0,5278,"1065_IWL_SAD_XX"
"340","SSI_1090000584",1,3,13,340,"1134",0,3784,"1047_IWW_SAD_XX"
"344","SSI_1090000584",1,3,14,344,"2548",0,326,"1004_WSI_FEA_XX"
"348","SSI_1090000584",1,3,15,348,"530",0,5029,"1062_MTI_DIS_XX"
"352","SSI_1090000584",1,3,16,352,"607",0,575,"1008_IEO_HAP_LO"
"356","SSI_1090000584",1,3,17,356,"990",0,77,"1001_WSI_NEU_XX"
"360","SSI_1090000584",1,3,18,360,"983",0,2788,"1035_TIE_SAD_XX"
"364","SSI_1090000584",1,3,19,364,"205",0,4033,"1050_IWW_DIS_XX"
"368","SSI_1090000584",1,3,20,368,"2508",0,6274,"1077_DFA_ANG_XX"
"372","SSI_1090000584",1,3,21,372,"2371",0,2539,"1032_IEO_DIS_HI"
"376","SSI_1090000584",1,3,22,376,"1413",0,6523,"1080_ITS_NEU_XX"
"380","SSI_1090000584",1,3,23,380,"678",0,3037,"1038_TIE_DIS_XX"
"384","SSI_1090000584",1,3,24,384,"711",0,4531,"1056_TAI_DIS_XX"
"388","SSI_1090000584",1,3,25,388,"1780",0,3535,"1044_IOM_DIS_XX"
"392","SSI_1090000584",1,3,26,392,"409",0,5776,"1071_ITH_SAD_XX"
"396","SSI_1090000584",1,3,27,396,"606",0,6772,"1083_ITS_ANG_XX"
"400","SSI_1090000584",1,3,28,400,"728",0,1792,"1023_IEO_SAD_HI"
"404","SSI_1090000584",1,3,29,404,"811",0,1543,"1020_IEO_HAP_HI"
"408","SSI_1090000584",1,3,30,408,"2797",0,5527,"1068_IWL_DIS_XX"
"412","SSI_1090000584",1,3,31,412,"409",0,1073,"1014_TIE_ANG_XX"
"416","SSI_1090000584",1,3,32,416,"1601",0,4282,"1053_TAI_SAD_XX"
"420","SSI_1090000584",1,3,33,420,"1238",0,1294,"1016_WSI_NEU_XX"
"425","SSI_1160000597",2,1,91,4,"1281",0,7443,"ANG_HI_practice"
"429","SSI_1160000597",2,1,92,8,"3828",0,7444,"SAD_MD_practice"
"433","SSI_1160000597",2,1,1,12,"4297",0,4804,"1059_ITS_SAD_XX"
"437","SSI_1160000597",2,1,2,16,"3578",0,2812,"1035_MTI_SAD_XX"
"441","SSI_1160000597",2,1,3,20,"3250",0,4057,"1050_ITH_DIS_XX"
"445","SSI_1160000597",2,1,4,24,"7953",0,2563,"1032_TAI_DIS_XX"
"449","SSI_1160000597",2,1,5,28,"1812",0,6049,"1074_WSI_DIS_XX"
"453","SSI_1160000597",2,1,6,32,"2782",0,5551,"1068_TSI_DIS_XX"
"457","SSI_1160000597",2,1,7,36,"625",0,6796,"1084_IEO_ANG_HI"
"461","SSI_1160000597",2,1,8,40,"3531",0,4306,"1053_DFA_SAD_XX"
"465","SSI_1160000597",2,1,9,44,"2312",0,1318,"1017_TIE_SAD_XX"
"469","SSI_1160000597",2,1,10,48,"1906",0,322,"1004_WSI_NEU_XX"
"473","SSI_1160000597",2,1,11,52,"3016",0,3061,"1038_MTI_DIS_XX"
"477","SSI_1160000597",2,1,12,56,"1187",0,2314,"1029_TAI_SAD_XX"
"481","SSI_1160000597",2,1,13,60,"3781",0,6547,"1081_IEO_SAD_HI"
"485","SSI_1160000597",2,1,14,64,"1781",0,3808,"1047_ITH_SAD_XX"
"489","SSI_1160000597",2,1,15,68,"2281",0,5302,"1065_TSI_SAD_XX"
"493","SSI_1160000597",2,1,16,72,"4640",0,1816,"1023_IWW_SAD_XX"
"497","SSI_1160000597",2,1,17,76,"609",0,6796,"1084_IEO_ANG_HI"
"501","SSI_1160000597",2,1,18,80,"6188",0,7294,"1090_IEO_DIS_HI"
"505","SSI_1160000597",2,1,19,84,"2344",0,820,"1011_IEO_FEA_HI"
"509","SSI_1160000597",2,1,20,88,"1953",0,2065,"1026_IWW_DIS_XX"
"513","SSI_1160000597",2,1,21,92,"2328",0,1567,"1020_IOM_DIS_XX"
"517","SSI_1160000597",2,1,22,96,"8609",0,4555,"1056_DFA_DIS_XX"
"521","SSI_1160000597",2,1,23,100,"1703",0,4057,"1050_ITH_DIS_XX"
"525","SSI_1160000597",2,1,24,104,"2406",0,6298,"1078_IEO_HAP_HI"
"529","SSI_1160000597",2,1,25,108,"1000",0,322,"1004_WSI_NEU_XX"
"533","SSI_1160000597",2,1,26,112,"10750",0,1069,"1014_IEO_DIS_HI"
"537","SSI_1160000597",2,1,27,116,"3031",0,5800,"1071_WSI_SAD_XX"
"541","SSI_1160000597",2,1,28,120,"438",0,571,"1007_WSI_ANG_XX"
"545","SSI_1160000597",2,1,29,124,"3781",0,101,"1002_TIE_ANG_XX"
"549","SSI_1160000597",2,1,30,128,"500",0,7045,"1087_IEO_FEA_HI"
"553","SSI_1160000597",2,1,31,132,"1437",0,5053,"1062_ITS_DIS_XX"
"557","SSI_1160000597",2,1,32,136,"3156",0,3559,"1044_IWL_DIS_XX"
"561","SSI_1160000597",2,1,33,140,"1203",0,3310,"1041_IWL_SAD_XX"
"565","SSI_1160000597",2,2,91,144,"1125",0,7443,"ANG_HI_practice"
"569","SSI_1160000597",2,2,92,148,"1250",0,7444,"SAD_MD_practice"
"573","SSI_1160000597",2,2,1,152,"7328",0,848,"1011_MTI_NEU_XX"
"577","SSI_1160000597",2,2,2,156,"1235",0,5081,"1063_IEO_DIS_HI"
"581","SSI_1160000597",2,2,3,160,"1875",0,5330,"1066_TIE_SAD_XX"
"585","SSI_1160000597",2,2,4,164,"1079",0,2840,"1035_TSI_NEU_XX"
"589","SSI_1160000597",2,2,5,168,"734",0,4085,"1051_IEO_HAP_HI"
"593","SSI_1160000597",2,2,6,172,"4343",0,4334,"1054_IEO_SAD_HI"
"597","SSI_1160000597",2,2,7,176,"750",0,3587,"1044_WSI_ANG_XX"
"601","SSI_1160000597",2,2,8,180,"829",0,3836,"1048_IEO_NEU_XX"
"605","SSI_1160000597",2,2,9,184,"1140",0,3338,"1041_WSI_NEU_XX"
"609","SSI_1160000597",2,2,10,188,"2500",0,2591,"1032_ITS_ANG_XX"
"613","SSI_1160000597",2,2,11,192,"984",0,7073,"1087_MTI_NEU_XX"
"617","SSI_1160000597",2,2,12,196,"3625",0,6077,"1075_IOM_DIS_XX"
"621","SSI_1160000597",2,2,13,200,"672",0,5579,"1069_TIE_DIS_XX"
"625","SSI_1160000597",2,2,14,204,"984",0,4583,"1057_IEO_ANG_HI"
"629","SSI_1160000597",2,2,15,208,"4109",0,6824,"1084_TAI_ANG_XX"
"633","SSI_1160000597",2,2,16,212,"1234",0,7322,"1090_MTI_ANG_XX"
"637","SSI_1160000597",2,2,17,216,"938",0,5081,"1063_IEO_DIS_HI"
"641","SSI_1160000597",2,2,18,220,"718",0,6326,"1078_IWW_ANG_XX"
"645","SSI_1160000597",2,2,19,224,"640",0,599,"1008_IOM_ANG_XX"
"649","SSI_1160000597",2,2,20,228,"13687",0,2591,"1032_ITS_ANG_XX"
"653","SSI_1160000597",2,2,21,232,"1984",0,1595,"1020_ITH_ANG_XX"
"657","SSI_1160000597",2,2,22,236,"1094",0,2093,"1026_DFA_ANG_XX"
"661","SSI_1160000597",2,2,23,240,"859",0,6575,"1081_TAI_NEU_XX"
"665","SSI_1160000597",2,2,24,244,"4813",0,2342,"1029_ITS_NEU_XX"
"669","SSI_1160000597",2,2,25,248,"859",0,350,"1005_IOM_NEU_XX"
"673","SSI_1160000597",2,2,26,252,"1937",0,4334,"1054_IEO_SAD_HI"
"677","SSI_1160000597",2,2,27,256,"734",0,1097,"1014_MTI_ANG_XX"
"681","SSI_1160000597",2,2,28,260,"703",0,1346,"1017_IWL_NEU_XX"
"685","SSI_1160000597",2,2,29,264,"1359",0,1844,"1023_DFA_NEU_XX"
"689","SSI_1160000597",2,2,30,268,"891",0,3089,"1038_TSI_ANG_XX"
"693","SSI_1160000597",2,2,31,272,"1578",0,5828,"1072_IOM_SAD_XX"
"697","SSI_1160000597",2,2,32,276,"969",0,129,"1002_IWL_HAP_XX"
"701","SSI_1160000597",2,2,33,280,"3375",0,4832,"1060_IEO_FEA_HI"
"705","SSI_1160000597",2,3,91,284,"907",0,7443,"ANG_HI_practice"
"709","SSI_1160000597",2,3,92,288,"921",0,7444,"SAD_MD_practice"
"713","SSI_1160000597",2,3,1,292,"735",0,1623,"1021_IEO_HAP_LO"
