order,original_clip_idx,filename,class_label,class_name,demand_env,snr_db,beep_start_s,clip_start_s,clip_end_s,ravdess_files
1,112,calm_speech_NPARK_002.wav,1,calm_speech,NPARK,8.8,0.0,4.0,49.0,03-01-01-01-02-02-16.wav|03-01-02-01-02-02-13.wav|03-01-02-01-02-02-13.wav|03-01-02-02-02-01-17.wav|03-01-02-01-01-01-01.wav|03-01-01-01-01-02-03.wav|03-01-01-01-02-01-22.wav|03-01-01-01-02-02-13.wav|03-01-02-02-01-02-10.wav|03-01-01-01-01-01-16.wav|03-01-01-01-01-02-09.wav|03-01-02-02-01-01-11.wav
2,140,distress_DLIVING_010.wav,2,distress,DLIVING,6.7,49.0,53.0,98.0,03-01-05-01-01-01-15.wav|03-01-05-01-02-01-14.wav|03-01-06-01-02-02-22.wav|03-01-06-01-01-02-08.wav|03-01-05-01-02-02-15.wav|03-01-05-01-01-02-10.wav|03-01-06-02-02-01-24.wav|03-01-05-02-01-01-15.wav|03-01-05-01-01-01-18.wav|03-01-06-02-02-02-10.wav|03-01-05-01-01-01-16.wav
3,14,background_DLIVING_004.wav,0,background,DLIVING,N/A,98.0,102.0,147.0,N/A
4,178,distress_NPARK_008.wav,2,distress,NPARK,5.6,147.0,151.0,196.0,03-01-06-02-01-01-04.wav|03-01-06-02-02-01-10.wav|03-01-06-02-02-02-13.wav|03-01-05-01-01-01-17.wav|03-01-06-01-02-01-23.wav|03-01-05-02-01-01-10.wav|03-01-06-02-01-01-04.wav|03-01-06-01-01-01-10.wav|03-01-06-02-02-02-20.wav|03-01-05-01-01-01-08.wav|03-01-05-02-01-01-05.wav
5,137,distress_DLIVING_007.wav,2,distress,DLIVING,10.8,196.0,200.0,245.0,03-01-06-01-01-02-05.wav|03-01-05-01-02-02-12.wav|03-01-05-01-02-01-21.wav|03-01-05-01-02-02-22.wav|03-01-05-01-02-01-05.wav|03-01-06-02-01-01-23.wav|03-01-06-01-01-02-03.wav|03-01-06-02-02-01-18.wav|03-01-06-02-02-02-21.wav|03-01-06-01-01-01-11.wav|03-01-05-01-01-02-05.wav
6,155,distress_SPSQUARE_005.wav,2,distress,SPSQUARE,8.0,245.0,249.0,294.0,03-01-05-01-02-01-06.wav|03-01-06-02-01-02-23.wav|03-01-05-02-02-02-23.wav|03-01-06-01-01-02-06.wav|03-01-06-01-01-02-12.wav|03-01-05-01-02-02-08.wav|03-01-05-02-02-01-07.wav|03-01-05-02-02-02-05.wav|03-01-06-01-02-02-16.wav|03-01-05-02-02-02-12.wav|03-01-05-02-01-02-19.wav
7,62,calm_speech_DKITCHEN_002.wav,1,calm_speech,DKITCHEN,9.5,294.0,298.0,343.0,03-01-02-01-02-01-16.wav|03-01-02-02-01-02-16.wav|03-01-02-02-02-01-09.wav|03-01-02-01-01-01-12.wav|03-01-01-01-01-01-04.wav|03-01-01-01-02-02-08.wav|03-01-02-01-02-01-11.wav|03-01-02-01-01-02-20.wav|03-01-02-01-02-01-12.wav|03-01-02-02-01-02-24.wav|03-01-02-02-02-01-14.wav
8,72,calm_speech_DLIVING_002.wav,1,calm_speech,DLIVING,12.0,343.0,347.0,392.0,03-01-02-02-01-01-24.wav|03-01-02-02-02-01-21.wav|03-01-01-01-01-02-09.wav|03-01-01-01-02-02-10.wav|03-01-02-01-01-01-03.wav|03-01-01-01-01-02-24.wav|03-01-02-01-02-02-14.wav|03-01-01-01-01-02-03.wav|03-01-02-01-01-02-21.wav|03-01-02-02-01-01-23.wav|03-01-02-01-01-01-03.wav
9,40,background_SPSQUARE_010.wav,0,background,SPSQUARE,N/A,392.0,396.0,441.0,N/A
10,118,calm_speech_NPARK_008.wav,1,calm_speech,NPARK,11.0,441.0,445.0,490.0,03-01-02-02-02-01-01.wav|03-01-01-01-02-01-15.wav|03-01-02-01-01-02-06.wav|03-01-02-02-01-02-09.wav|03-01-02-01-02-02-24.wav|03-01-01-01-02-01-10.wav|03-01-02-02-02-02-10.wav|03-01-02-01-01-01-07.wav|03-01-01-01-01-01-01.wav|03-01-01-01-02-02-07.wav|03-01-01-01-01-01-24.wav
11,71,calm_speech_DLIVING_001.wav,1,calm_speech,DLIVING,11.5,490.0,494.0,539.0,03-01-01-01-01-01-24.wav|03-01-02-01-02-02-01.wav|03-01-02-02-02-02-04.wav|03-01-01-01-01-01-11.wav|03-01-02-01-01-01-18.wav|03-01-02-01-02-02-21.wav|03-01-01-01-01-02-18.wav|03-01-02-01-01-02-03.wav|03-01-01-01-02-01-17.wav|03-01-02-01-02-02-17.wav|03-01-02-02-01-01-20.wav
12,133,distress_DLIVING_003.wav,2,distress,DLIVING,14.9,539.0,543.0,588.0,03-01-05-02-02-02-11.wav|03-01-05-02-01-01-21.wav|03-01-06-02-01-02-05.wav|03-01-05-01-02-01-03.wav|03-01-05-01-02-01-15.wav|03-01-06-01-02-02-10.wav|03-01-06-02-01-01-09.wav|03-01-06-02-01-01-02.wav|03-01-05-01-02-02-17.wav|03-01-06-02-02-02-10.wav|03-01-05-02-02-02-15.wav
13,60,background_NPARK_010.wav,0,background,NPARK,N/A,588.0,592.0,637.0,N/A
14,26,background_PRESTO_006.wav,0,background,PRESTO,N/A,637.0,641.0,686.0,N/A
15,73,calm_speech_DLIVING_003.wav,1,calm_speech,DLIVING,5.8,686.0,690.0,735.0,03-01-02-02-02-02-08.wav|03-01-02-02-02-01-03.wav|03-01-01-01-01-02-11.wav|03-01-01-01-01-02-06.wav|03-01-02-01-02-02-11.wav|03-01-02-02-01-01-02.wav|03-01-02-01-02-02-04.wav|03-01-01-01-02-02-23.wav|03-01-01-01-01-02-12.wav|03-01-02-01-02-02-14.wav|03-01-01-01-02-02-12.wav
16,22,background_PRESTO_002.wav,0,background,PRESTO,N/A,735.0,739.0,784.0,N/A
17,179,distress_NPARK_009.wav,2,distress,NPARK,9.5,784.0,788.0,833.0,03-01-06-01-01-02-20.wav|03-01-05-02-01-01-14.wav|03-01-06-01-01-02-18.wav|03-01-05-01-01-02-16.wav|03-01-05-01-02-02-18.wav|03-01-05-02-01-01-22.wav|03-01-06-02-02-02-07.wav|03-01-06-02-02-01-08.wav|03-01-05-01-01-02-20.wav|03-01-06-01-01-01-03.wav
